student_id,year,branch,gpa,study_hours,failures,hostel,sleep_hours,family_support,interest,budget_level,skill_level,stress_level,communication_level,confusion_level
61,4,Mechanical,5.65,4,2,Hostel,8,High,Manufacturing,Medium,Beginner,High,Good,High
62,2,Mechanical,6.99,1,0,Day Scholar,8,Medium,Robotics,High,Beginner,High,Average,High
63,2,EEE,6.64,3,0,Hostel,8,Medium,Power Systems,Low,Beginner,Medium,Average,Medium
64,3,EEE,5.11,3,1,Hostel,8,Low,Renewable Energy,High,Beginner,High,Poor,High
65,2,IT,6.94,2,1,Day Scholar,8,High,AI/ML,High,Beginner,Medium,Good,High
66,2,ECE,5.64,6,0,Hostel,4,Medium,IoT,High,Beginner,High,Average,High
67,3,IT,5.15,5,0,Day Scholar,4,Low,Communication Skills,High,Beginner,High,Poor,High
68,1,CSE,5.55,5,0,Hostel,8,Low,App Development,High,Beginner,High,Poor,High
69,4,EEE,5.29,2,2,Hostel,6,High,Electrical Design,Low,Beginner,High,Good,High
70,4,EEE,5.84,2,0,Hostel,4,High,Renewable Energy,Low,Beginner,High,Good,High
71,3,Mechanical,7.83,1,0,Day Scholar,7,Low,CAD Design,Medium,Beginner,High,Poor,High
72,3,IT,8.4,4,1,Day Scholar,6,Low,AI/ML,Low,Intermediate,High,Poor,Low
73,2,IT,6.47,2,1,Day Scholar,7,High,Web Development,Low,Beginner,High,Good,High
74,1,IT,5.27,6,1,Day Scholar,4,Low,Data Analysis,High,Beginner,High,Poor,High
75,2,IT,5.92,5,0,Hostel,8,Medium,Data Analysis,Low,Beginner,High,Average,High
76,4,Mechanical,6.68,2,0,Day Scholar,6,Medium,Thermal Engineering,High,Beginner,Medium,Average,High
77,1,ECE,5.7,2,2,Hostel,8,Low,IoT,Medium,Beginner,High,Poor,High
78,2,ECE,7.2,1,0,Hostel,7,High,Embedded Systems,Low,Beginner,High,Good,High
79,2,CSE,8.99,2,2,Day Scholar,5,High,Cybersecurity,High,Beginner,Medium,Good,High
80,4,Mechanical,9.27,4,2,Day Scholar,6,Low,Manufacturing,High,Intermediate,High,Poor,Low
81,3,Mechanical,6.24,5,0,Day Scholar,7,High,Manufacturing,Low,Beginner,High,Good,High
82,1,CSE,7.57,1,0,Day Scholar,4,High,Data Science,High,Beginner,High,Good,High
83,1,EEE,9.13,6,0,Day Scholar,4,High,Renewable Energy,Low,Intermediate,Low,Good,Low
84,2,Mechanical,8.91,2,2,Hostel,7,High,CAD Design,Low,Beginner,Medium,Good,High
85,1,Mechanical,8.56,2,0,Day Scholar,5,Medium,Automobile Engineering,Low,Beginner,Medium,Average,High
86,2,Mechanical,6.01,2,0,Day Scholar,6,High,CAD Design,Medium,Beginner,High,Good,High
87,3,IT,8.5,2,0,Hostel,6,Medium,Competitive Coding,Medium,Beginner,Medium,Average,High
88,2,ECE,5.66,4,2,Day Scholar,7,High,Embedded Systems,Low,Beginner,High,Good,High
89,4,IT,8.38,2,0,Hostel,7,Low,Competitive Coding,High,Beginner,High,Poor,High
90,2,IT,7.92,4,2,Hostel,7,High,Data Analysis,High,Intermediate,Medium,Good,Low
91,1,CSE,8.67,6,2,Day Scholar,6,High,Web Development,Medium,Intermediate,Low,Good,Low
92,3,EEE,9.29,4,1,Day Scholar,6,Medium,Smart Grid Systems,Medium,Intermediate,Medium,Average,Low
93,1,Mechanical,6.01,3,0,Hostel,8,Low,Manufacturing,High,Beginner,High,Poor,High
94,1,ECE,6.06,5,0,Day Scholar,4,Medium,Embedded Systems,Medium,Beginner,High,Average,High
95,3,Mechanical,5.63,4,0,Day Scholar,8,Medium,Automobile Engineering,High,Beginner,High,Average,High
96,1,ECE,7.59,5,1,Day Scholar,7,Medium,IoT,Low,Intermediate,Medium,Average,Low
97,3,ECE,8.97,1,0,Day Scholar,6,High,Embedded Systems,High,Beginner,High,Good,High
98,1,IT,8.52,3,0,Day Scholar,5,Low,Data Analysis,High,Beginner,High,Poor,Low
99,4,IT,9.07,1,0,Hostel,8,High,AI/ML,High,Beginner,High,Good,High
100,2,EEE,9.31,5,0,Hostel,4,High,Renewable Energy,Medium,Intermediate,Low,Good,Low
101,2,CSE,6.24,2,0,Day Scholar,8,Medium,AI/ML,High,Beginner,High,Average,High
102,4,EEE,6.83,6,2,Hostel,7,Medium,Power Systems,Low,Beginner,Medium,Average,Medium
103,4,ECE,7.95,1,0,Hostel,5,Low,Signal Processing,High,Beginner,High,Poor,High
104,2,Mechanical,5.85,5,0,Day Scholar,6,High,Automobile Engineering,Low,Beginner,High,Good,High
105,4,Mechanical,8.97,5,0,Hostel,6,Low,CAD Design,Medium,Intermediate,High,Poor,Low
106,2,ECE,5.84,3,0,Hostel,4,Low,Signal Processing,High,Beginner,High,Poor,High
107,1,EEE,5.11,3,1,Day Scholar,4,Medium,Electrical Design,Low,Beginner,High,Average,High
108,2,Mechanical,6.75,1,2,Hostel,4,Medium,CAD Design,High,Beginner,High,Average,High
109,3,EEE,5.0,5,2,Day Scholar,4,High,Industrial Automation,Medium,Beginner,High,Good,High
110,2,IT,7.01,3,2,Hostel,7,Medium,AI/ML,Low,Beginner,Medium,Average,Medium
111,3,EEE,8.81,6,1,Hostel,8,Medium,Smart Grid Systems,Low,Intermediate,Medium,Average,Low
112,4,Mechanical,6.62,5,0,Hostel,7,Low,CAD Design,Low,Beginner,High,Poor,Medium
113,1,EEE,7.16,1,0,Day Scholar,6,Low,Power Systems,High,Beginner,High,Poor,High
114,3,CSE,9.11,5,2,Day Scholar,6,Medium,Data Science,High,Intermediate,Medium,Average,Low
115,4,ECE,6.22,5,1,Day Scholar,4,Medium,Signal Processing,Medium,Beginner,High,Average,High
116,4,CSE,8.41,3,0,Hostel,4,Low,AI/ML,High,Beginner,High,Poor,Low
117,3,EEE,5.92,5,0,Day Scholar,6,High,Smart Grid Systems,Low,Beginner,High,Good,High
118,1,CSE,6.45,4,0,Hostel,6,High,Data Science,High,Beginner,High,Good,High
119,2,ECE,6.59,2,0,Hostel,8,High,Embedded Systems,High,Beginner,Medium,Good,High
120,4,IT,9.46,2,0,Hostel,5,Medium,Data Analysis,Low,Beginner,Medium,Average,High
121,4,CSE,8.41,1,0,Hostel,5,High,Cybersecurity,Medium,Beginner,High,Good,High
122,4,CSE,8.71,6,0,Day Scholar,7,Low,App Development,Medium,Intermediate,High,Poor,Low
123,1,Mechanical,8.86,5,1,Day Scholar,7,Low,Manufacturing,Medium,Intermediate,High,Poor,Low
124,4,Mechanical,6.47,3,0,Hostel,6,Low,CAD Design,Medium,Beginner,High,Poor,High
125,2,CSE,5.27,3,0,Hostel,7,Low,Cybersecurity,Low,Beginner,High,Poor,High
126,2,IT,6.24,2,2,Day Scholar,6,Medium,Data Analysis,High,Beginner,High,Average,High
127,4,ECE,8.95,4,0,Hostel,8,Medium,VLSI Design,Low,Intermediate,Medium,Average,Low
128,1,EEE,5.35,2,0,Day Scholar,6,Low,Renewable Energy,High,Beginner,High,Poor,High
129,1,Mechanical,7.37,4,0,Hostel,5,High,Robotics,Medium,Beginner,Medium,Good,Medium
130,4,ECE,8.37,6,0,Day Scholar,7,Low,Communication Systems,Low,Intermediate,High,Poor,Low
131,3,Mechanical,6.54,4,0,Hostel,8,Medium,CAD Design,High,Beginner,Medium,Average,Medium
132,1,IT,5.61,4,0,Day Scholar,7,Medium,Communication Skills,High,Beginner,High,Average,High
133,1,EEE,9.27,1,1,Day Scholar,4,Low,Electrical Design,Low,Beginner,High,Poor,High
134,2,EEE,9.37,4,2,Day Scholar,8,Low,Smart Grid Systems,Low,Intermediate,High,Poor,Low
135,4,EEE,7.73,5,0,Hostel,6,High,Industrial Automation,Low,Intermediate,Medium,Good,Low
136,3,EEE,8.52,2,0,Hostel,4,Medium,Electrical Design,High,Beginner,Medium,Average,High
137,1,Mechanical,8.69,4,2,Day Scholar,8,Medium,Automobile Engineering,High,Intermediate,Medium,Average,Low
138,3,Mechanical,7.85,4,2,Hostel,5,High,CAD Design,Low,Intermediate,Medium,Good,Low
139,1,EEE,7.99,3,2,Day Scholar,5,High,Industrial Automation,Medium,Beginner,Medium,Good,Low
140,4,Mechanical,5.08,4,2,Hostel,4,High,Manufacturing,Medium,Beginner,High,Good,High
141,2,Mechanical,5.46,2,2,Hostel,6,Low,Automobile Engineering,High,Beginner,High,Poor,High
142,4,IT,6.9,6,0,Hostel,8,High,Competitive Coding,High,Beginner,Medium,Good,Medium
143,1,Mechanical,9.41,5,0,Hostel,7,Low,Thermal Engineering,Low,Intermediate,High,Poor,Low
144,4,ECE,6.96,2,1,Day Scholar,4,Medium,IoT,High,Beginner,Medium,Average,High
145,1,ECE,9.27,4,2,Day Scholar,6,Medium,VLSI Design,Low,Intermediate,Medium,Average,Low
146,3,Mechanical,8.31,3,0,Day Scholar,7,Low,CAD Design,High,Beginner,High,Poor,Low
147,1,Mechanical,9.35,5,2,Day Scholar,7,Medium,Robotics,Low,Intermediate,Medium,Average,Low
148,3,EEE,7.26,5,0,Day Scholar,5,Medium,Smart Grid Systems,High,Beginner,Medium,Average,Medium
149,1,Mechanical,6.55,6,2,Hostel,8,Medium,Robotics,High,Beginner,Medium,Average,Medium
150,3,IT,5.81,4,2,Hostel,6,Low,Competitive Coding,Low,Beginner,High,Poor,High
151,4,EEE,5.14,1,0,Hostel,7,Low,Power Systems,Low,Beginner,High,Poor,High
152,1,Mechanical,5.22,1,0,Day Scholar,7,Medium,CAD Design,Medium,Beginner,High,Average,High
153,1,Mechanical,5.64,2,0,Hostel,8,High,Thermal Engineering,Low,Beginner,High,Good,High
154,4,ECE,5.93,3,1,Hostel,5,Medium,VLSI Design,Medium,Beginner,High,Average,High
155,2,IT,5.01,1,1,Hostel,4,High,Communication Skills,High,Beginner,High,Good,High
156,1,CSE,7.19,3,1,Day Scholar,7,High,Cybersecurity,High,Beginner,Medium,Good,Medium
157,2,Mechanical,6.09,5,0,Hostel,6,Medium,Robotics,Low,Beginner,High,Average,High
158,3,ECE,6.05,2,0,Hostel,4,Medium,VLSI Design,Medium,Beginner,High,Average,High
159,4,CSE,6.23,2,1,Day Scholar,5,High,App Development,High,Beginner,High,Good,High
160,2,Mechanical,8.7,6,1,Day Scholar,5,High,Manufacturing,High,Intermediate,Low,Good,Low
161,2,ECE,6.31,3,2,Day Scholar,5,High,VLSI Design,Low,Beginner,High,Good,High
162,4,ECE,5.25,3,2,Hostel,6,Medium,IoT,Low,Beginner,High,Average,High
163,1,Mechanical,7.38,3,0,Hostel,8,Low,Thermal Engineering,Low,Beginner,High,Poor,Medium
164,1,IT,8.8,2,2,Day Scholar,5,Medium,Data Analysis,Low,Beginner,Medium,Average,High
165,3,ECE,5.56,6,0,Hostel,7,High,Communication Systems,High,Beginner,High,Good,High
166,2,IT,9.19,6,2,Day Scholar,5,Low,Data Analysis,Low,Intermediate,High,Poor,Low
167,4,IT,6.36,2,1,Day Scholar,7,Low,Communication Skills,Low,Beginner,High,Poor,High
168,3,CSE,6.51,2,0,Day Scholar,4,Medium,Web Development,Low,Beginner,Medium,Average,High
169,4,ECE,6.59,4,2,Day Scholar,4,Low,Communication Systems,Low,Beginner,High,Poor,Medium
170,1,EEE,6.66,4,0,Day Scholar,8,Low,Renewable Energy,High,Beginner,High,Poor,Medium
171,2,ECE,6.93,3,0,Day Scholar,8,Low,VLSI Design,Low,Beginner,High,Poor,Medium
172,4,IT,8.02,4,1,Day Scholar,5,High,Data Analysis,Medium,Intermediate,Low,Good,Low
173,2,Mechanical,5.66,2,0,Day Scholar,5,High,Robotics,Medium,Beginner,High,Good,High
174,2,ECE,6.93,5,1,Hostel,7,Low,IoT,High,Beginner,High,Poor,Medium
175,3,ECE,6.45,5,0,Hostel,6,Low,IoT,Low,Beginner,High,Poor,High
176,2,ECE,9.03,2,2,Hostel,4,Low,VLSI Design,High,Beginner,High,Poor,High
177,1,CSE,9.18,1,2,Hostel,5,Medium,AI/ML,Medium,Beginner,High,Average,High
178,2,CSE,8.98,1,2,Hostel,5,Medium,Cybersecurity,Low,Beginner,High,Average,High
179,1,IT,7.28,1,0,Day Scholar,8,High,Data Analysis,Medium,Beginner,High,Good,High
180,2,CSE,5.7,4,0,Hostel,6,Low,Web Development,High,Beginner,High,Poor,High
181,3,CSE,5.86,5,0,Hostel,8,Medium,Data Science,High,Beginner,High,Average,High
182,2,ECE,6.05,1,0,Day Scholar,5,Low,Embedded Systems,Low,Beginner,High,Poor,High
183,4,EEE,8.67,1,2,Day Scholar,5,Medium,Industrial Automation,High,Beginner,High,Average,High
184,2,EEE,6.14,2,1,Hostel,5,Medium,Renewable Energy,Medium,Beginner,High,Average,High
185,1,CSE,9.49,3,1,Day Scholar,8,Low,AI/ML,Low,Beginner,High,Poor,Low
186,4,EEE,8.1,4,1,Day Scholar,4,Low,Industrial Automation,Low,Intermediate,High,Poor,Low
187,2,CSE,5.7,3,2,Hostel,7,High,Web Development,High,Beginner,High,Good,High
188,1,Mechanical,8.9,4,1,Hostel,7,Low,Robotics,High,Intermediate,High,Poor,Low
189,1,IT,6.05,6,0,Hostel,7,Low,Data Analysis,Medium,Beginner,High,Poor,High
190,2,ECE,5.2,5,0,Day Scholar,6,High,Signal Processing,Medium,Beginner,High,Good,High
191,3,Mechanical,6.85,3,2,Hostel,5,Medium,Automobile Engineering,Low,Beginner,Medium,Average,Medium
192,4,CSE,7.7,3,2,Hostel,5,High,AI/ML,Medium,Beginner,Medium,Good,Low
193,1,ECE,7.5,3,2,Day Scholar,6,High,Embedded Systems,High,Beginner,Medium,Good,Low
194,3,IT,5.98,1,0,Day Scholar,4,Medium,Data Analysis,High,Beginner,High,Average,High
195,4,EEE,5.03,6,2,Hostel,5,Low,Industrial Automation,Medium,Beginner,High,Poor,High
196,3,EEE,7.6,2,1,Day Scholar,6,High,Renewable Energy,High,Beginner,Medium,Good,High
197,4,Mechanical,5.89,6,0,Day Scholar,6,Low,Manufacturing,Low,Beginner,High,Poor,High
198,4,ECE,7.85,5,2,Day Scholar,6,High,Embedded Systems,Low,Intermediate,Medium,Good,Low
199,1,ECE,5.08,4,0,Hostel,4,Low,IoT,Low,Beginner,High,Poor,High
200,2,Mechanical,6.66,1,0,Hostel,8,Medium,Robotics,Low,Beginner,High,Average,High
201,3,ECE,6.59,2,2,Hostel,8,High,Signal Processing,Medium,Beginner,Medium,Good,High
202,4,ECE,5.82,1,1,Day Scholar,6,Low,Communication Systems,Low,Beginner,High,Poor,High
203,1,IT,6.96,5,0,Day Scholar,6,Medium,Data Analysis,Medium,Beginner,Medium,Average,Medium
204,2,EEE,8.03,5,2,Day Scholar,5,High,Industrial Automation,High,Intermediate,Low,Good,Low
205,1,IT,9.28,6,1,Hostel,7,Medium,AI/ML,Low,Intermediate,Medium,Average,Low
206,4,EEE,8.63,6,2,Hostel,5,High,Electrical Design,Medium,Intermediate,Low,Good,Low
207,1,IT,7.59,1,1,Day Scholar,7,High,Communication Skills,Low,Beginner,High,Good,High
208,2,IT,8.93,3,1,Day Scholar,6,Low,AI/ML,High,Beginner,High,Poor,Low
209,2,ECE,6.79,3,0,Hostel,4,Medium,IoT,Medium,Beginner,Medium,Average,Medium
210,2,Mechanical,8.25,3,0,Day Scholar,4,High,Thermal Engineering,Low,Beginner,Medium,Good,Low
211,1,IT,5.54,4,1,Day Scholar,6,Medium,Web Development,Low,Beginner,High,Average,High
212,2,CSE,9.02,1,0,Day Scholar,8,Medium,App Development,High,Beginner,High,Average,High
213,2,EEE,9.48,2,1,Day Scholar,5,High,Power Systems,Low,Beginner,Medium,Good,High
214,2,IT,8.68,5,0,Day Scholar,7,High,Web Development,Low,Intermediate,Low,Good,Low
215,2,IT,6.98,6,0,Hostel,5,Medium,Data Analysis,Low,Beginner,Medium,Average,Medium
216,3,CSE,5.16,5,0,Day Scholar,4,Medium,Data Science,High,Beginner,High,Average,High
217,1,CSE,6.58,2,2,Day Scholar,8,Low,App Development,High,Beginner,High,Poor,High
218,1,CSE,9.11,4,2,Hostel,7,High,Data Science,Low,Intermediate,Low,Good,Low
219,1,IT,8.77,1,2,Day Scholar,8,Medium,AI/ML,Low,Beginner,High,Average,High
220,3,Mechanical,8.57,5,2,Day Scholar,7,Medium,Thermal Engineering,High,Intermediate,Medium,Average,Low
221,1,IT,7.04,2,0,Hostel,4,Low,AI/ML,High,Beginner,High,Poor,High
222,4,CSE,8.66,3,0,Hostel,4,High,Web Development,Low,Beginner,Medium,Good,Low
223,2,IT,5.69,3,0,Day Scholar,7,Low,Data Analysis,High,Beginner,High,Poor,High
224,2,Mechanical,5.63,1,0,Hostel,6,Medium,Thermal Engineering,Medium,Beginner,High,Average,High
225,2,IT,5.13,6,2,Hostel,7,High,Web Development,Medium,Beginner,High,Good,High
226,1,EEE,5.88,3,0,Hostel,7,High,Electrical Design,High,Beginner,High,Good,High
227,2,ECE,6.38,5,1,Day Scholar,6,Low,IoT,Medium,Beginner,High,Poor,High
228,3,IT,5.23,1,0,Day Scholar,8,Medium,Competitive Coding,High,Beginner,High,Average,High
229,1,ECE,9.19,2,0,Hostel,6,Medium,IoT,Low,Beginner,Medium,Average,High
230,4,ECE,7.57,4,0,Day Scholar,7,Medium,Embedded Systems,High,Intermediate,Medium,Average,Low
231,3,ECE,6.06,1,1,Day Scholar,7,High,Embedded Systems,Low,Beginner,High,Good,High
232,2,ECE,8.21,6,0,Hostel,7,Medium,VLSI Design,Medium,Intermediate,Medium,Average,Low
233,4,IT,9.26,4,1,Hostel,8,Low,Communication Skills,Medium,Intermediate,High,Poor,Low
234,4,IT,7.94,3,0,Day Scholar,8,High,Web Development,High,Beginner,Medium,Good,Low
235,1,ECE,7.42,5,2,Day Scholar,5,High,VLSI Design,Medium,Beginner,Medium,Good,Medium
236,2,IT,5.98,6,0,Day Scholar,4,Medium,Competitive Coding,Medium,Beginner,High,Average,High
237,2,EEE,6.76,2,1,Hostel,8,High,Renewable Energy,Low,Beginner,Medium,Good,High
238,2,IT,9.29,3,1,Hostel,8,Low,Data Analysis,High,Beginner,High,Poor,Low
239,3,CSE,5.77,5,0,Hostel,5,High,Data Science,Medium,Beginner,High,Good,High
240,4,CSE,5.94,2,0,Day Scholar,7,Low,Data Science,High,Beginner,High,Poor,High
241,3,EEE,6.48,3,2,Hostel,5,High,Electrical Design,Low,Beginner,High,Good,High
242,4,Mechanical,5.35,4,0,Day Scholar,5,Low,Thermal Engineering,Low,Beginner,High,Poor,High
243,3,ECE,5.31,5,0,Day Scholar,8,Medium,Communication Systems,High,Beginner,High,Average,High
244,1,Mechanical,9.07,3,0,Day Scholar,5,Medium,CAD Design,High,Beginner,Medium,Average,Low
245,4,Mechanical,8.59,2,0,Day Scholar,5,Medium,Automobile Engineering,Medium,Beginner,Medium,Average,High
246,3,ECE,6.14,1,1,Hostel,5,Low,VLSI Design,Low,Beginner,High,Poor,High
247,4,EEE,9.39,2,2,Hostel,7,Medium,Smart Grid Systems,Low,Beginner,Medium,Average,High
248,4,ECE,8.96,1,0,Hostel,8,Medium,Communication Systems,Low,Beginner,High,Average,High
249,1,CSE,5.87,3,2,Day Scholar,5,Medium,Data Science,Medium,Beginner,High,Average,High
250,3,ECE,5.12,5,2,Day Scholar,4,Medium,Signal Processing,Medium,Beginner,High,Average,High
251,2,EEE,7.89,5,0,Hostel,6,Low,Smart Grid Systems,High,Intermediate,High,Poor,Low
252,2,IT,8.69,4,0,Hostel,5,Medium,Data Analysis,Medium,Intermediate,Medium,Average,Low
253,1,EEE,6.88,2,1,Day Scholar,7,Low,Renewable Energy,Medium,Beginner,High,Poor,High
254,2,CSE,8.63,1,0,Hostel,6,Medium,Data Science,Medium,Beginner,High,Average,High
255,3,Mechanical,5.43,3,0,Day Scholar,6,Low,Manufacturing,Low,Beginner,High,Poor,High
256,4,EEE,8.78,1,2,Hostel,7,Low,Power Systems,High,Beginner,High,Poor,High
257,2,Mechanical,6.3,6,2,Hostel,7,Low,Robotics,Medium,Beginner,High,Poor,High
258,3,ECE,8.05,5,2,Hostel,6,Medium,Communication Systems,High,Intermediate,Medium,Average,Low
259,3,EEE,5.18,6,1,Hostel,5,Medium,Industrial Automation,Medium,Beginner,High,Average,High
260,3,Mechanical,7.6,5,2,Day Scholar,6,High,Automobile Engineering,High,Intermediate,Medium,Good,Low
261,3,CSE,7.39,2,0,Day Scholar,4,Low,Cybersecurity,Medium,Beginner,High,Poor,High
262,2,EEE,5.67,3,0,Hostel,7,Medium,Smart Grid Systems,Medium,Beginner,High,Average,High
263,4,ECE,7.24,2,0,Day Scholar,7,Low,Signal Processing,Low,Beginner,High,Poor,High
264,3,CSE,8.61,4,0,Hostel,7,Medium,Cybersecurity,High,Intermediate,Medium,Average,Low
265,3,IT,8.78,2,0,Hostel,7,Low,Communication Skills,High,Beginner,High,Poor,High
266,1,CSE,9.46,6,2,Day Scholar,6,High,Data Science,High,Intermediate,Low,Good,Low
267,4,ECE,6.21,2,2,Hostel,8,Low,VLSI Design,Medium,Beginner,High,Poor,High
268,3,ECE,7.17,6,0,Hostel,7,High,Embedded Systems,Low,Beginner,Medium,Good,Medium
269,1,IT,6.13,5,0,Hostel,8,Medium,Competitive Coding,Low,Beginner,High,Average,High
270,3,Mechanical,6.33,5,2,Day Scholar,7,Low,Thermal Engineering,Low,Beginner,High,Poor,High
271,1,Mechanical,6.05,3,0,Hostel,7,Medium,Robotics,High,Beginner,High,Average,High
272,4,Mechanical,6.5,5,0,Hostel,7,High,Automobile Engineering,High,Beginner,Medium,Good,Medium
273,1,ECE,5.07,2,2,Hostel,5,Medium,Communication Systems,Low,Beginner,High,Average,High
274,4,Mechanical,5.65,2,0,Day Scholar,7,High,Manufacturing,Medium,Beginner,High,Good,High
